merchant_id,city,pincode,store_type,industry,income_level,foot_traffic,rent_pct_revenue,weather_preference,avg_txn_value,daily_txn_count,refund_rate,store_size_sqft
C10000,Mumbai,400004,Standalone,Restaurant,58060.27,201.52,0.181,Rain Boost,646.41,65,0.016,5274
C10001,Mumbai,400004,Standalone,Restaurant,60271.13,179.09,0.1917,Rain Boost,753.11,74,0.019,5382
C10002,Mumbai,400004,Standalone,Restaurant,59334.75,199.86,0.2082,Rain Boost,749.61,63,0.018,5237
C10003,Mumbai,400004,Standalone,Restaurant,59793.93,183.32,0.1999,Rain Boost,672.78,68,0.0171,5033
C10004,Mumbai,400004,Standalone,Restaurant,58163.68,191.83,0.194,Rain Boost,710.9,83,0.0188,4882
C10005,Mumbai,400004,Standalone,Restaurant,54960.91,180.01,0.1981,Rain Boost,697.04,73,0.0164,4673
C10006,Mumbai,400004,Standalone,Restaurant,55536.05,204.73,0.1962,Rain Boost,693.8,84,0.0175,5117
C10007,Delhi,400018,Standalone,Retail,71834.85,266.1,0.0491,None,411.24,50,0.0269,1806
C10008,Delhi,400018,Standalone,Retail,76055.48,233.96,0.0578,None,409.21,67,0.0273,1571
C10009,Delhi,400018,Standalone,Retail,71693.09,265.0,0.0565,None,380.81,66,0.025,1843
C10010,Delhi,400018,Standalone,Retail,72551.15,237.56,0.0585,None,403.88,60,0.0262,1813
C10011,Delhi,400018,Standalone,Retail,71133.8,258.1,0.0542,None,381.09,58,0.0343,1828
C10012,Chennai,400012,Standalone,Restaurant,44297.51,151.43,0.1142,Rain Boost,310.62,36,0.0252,5533
C10013,Chennai,400012,Standalone,Restaurant,41345.06,178.8,0.1199,Rain Boost,297.29,36,0.0179,4537
C10014,Chennai,400012,Standalone,Restaurant,44501.58,161.78,0.1066,Rain Boost,288.84,38,0.0189,4698
C10015,Chennai,400012,Standalone,Restaurant,41781.29,177.04,0.1131,Rain Boost,311.53,41,0.0237,4524
C10016,Chennai,400012,Standalone,Restaurant,42901.07,166.76,0.1201,Rain Boost,299.74,50,0.0253,5250
C10017,Chennai,400012,Standalone,Restaurant,43382.93,156.2,0.1005,Rain Boost,276.46,51,0.0194,4827
C10018,Mumbai,400012,Mall,Retail,35376.76,207.7,0.1184,None,196.22,95,0.065,1587
C10019,Mumbai,400012,Mall,Retail,34815.17,226.24,0.099,None,189.81,75,0.0967,1908
C10020,Mumbai,400012,Mall,Retail,33730.89,201.42,0.1078,None,181.91,105,0.0712,1809
C10021,Mumbai,400012,Mall,Retail,34892.43,219.37,0.1062,None,176.34,101,0.0792,1806
C10022,Mumbai,400012,Mall,Retail,36360.35,216.37,0.1034,None,179.79,79,0.0924,1851
C10023,Mumbai,400012,Mall,Retail,35559.28,229.06,0.0981,None,189.59,73,0.0696,1626
C10024,Mumbai,400012,Mall,Retail,33429.53,235.32,0.1014,None,182.72,97,0.0652,1856
C10025,Chennai,400004,Standalone,Retail,52578.25,109.55,0.1835,None,471.09,43,0.0263,3749
C10026,Chennai,400004,Standalone,Retail,51692.62,105.0,0.1802,None,435.67,33,0.0211,3726
C10027,Chennai,400004,Standalone,Retail,53107.63,102.77,0.163,None,477.41,38,0.0274,4611
C10028,Chennai,400004,Standalone,Retail,50223.2,105.76,0.1639,None,431.82,29,0.0286,4657
C10029,Chennai,400054,Mall,Restaurant,42500.79,179.13,0.2015,None,792.21,29,0.0098,2482
C10030,Chennai,400054,Mall,Restaurant,41161.08,184.37,0.1778,None,716.13,21,0.0103,2031
C10031,Chennai,400054,Mall,Restaurant,39644.62,171.4,0.1688,None,775.7,32,0.0115,2561
C10032,Chennai,400054,Mall,Restaurant,41212.5,185.02,0.1991,None,671.42,27,0.0104,2077
C10033,Chennai,400054,Mall,Restaurant,42523.01,183.08,0.1906,None,655.9,23,0.0132,2390
C10034,Bangalore,400001,Mall,Fashion,46646.32,206.66,0.1703,Sunny Boost,1879.17,29,0.0868,4149
C10035,Bangalore,400001,Mall,Fashion,46042.82,217.65,0.1772,Sunny Boost,1590.54,32,0.0818,4127
C10036,Bangalore,400001,Mall,Fashion,47320.26,247.1,0.191,Sunny Boost,1664.93,31,0.0902,3541
C10037,Bangalore,400001,Mall,Fashion,44469.76,227.08,0.186,Sunny Boost,1572.63,28,0.0946,3680
C10038,Bangalore,400036,Mall,Retail,52814.94,272.45,0.239,Sunny Boost,306.74,85,0.037,4542
C10039,Bangalore,400036,Mall,Retail,55771.45,235.82,0.2158,Sunny Boost,282.18,75,0.0315,4342
C10040,Bangalore,400036,Mall,Retail,54294.87,262.83,0.215,Sunny Boost,327.29,107,0.0439,5230
C10041,Bangalore,400036,Mall,Retail,54473.58,268.9,0.2569,Sunny Boost,324.26,96,0.0434,5154
C10042,Mumbai,400012,Street Front,Retail,26540.76,155.76,0.234,Sunny Boost,323.7,83,0.0432,1051
C10043,Mumbai,400012,Street Front,Retail,28371.44,143.55,0.234,Sunny Boost,347.47,81,0.0299,1327
C10044,Mumbai,400012,Street Front,Retail,28780.78,144.2,0.2299,Sunny Boost,373.27,69,0.042,1001
C10045,Mumbai,400012,Street Front,Retail,26645.16,155.48,0.2088,Sunny Boost,349.41,62,0.0311,1241
C10046,Mumbai,400012,Street Front,Retail,28631.02,144.19,0.2211,Sunny Boost,313.01,64,0.0373,1297
C10047,Mumbai,400012,Street Front,Retail,28851.87,135.29,0.2319,Sunny Boost,350.75,62,0.0297,1173
C10048,Bangalore,400078,Street Front,Retail,20965.21,94.68,0.1083,None,164.1,29,0.0621,1599
C10049,Bangalore,400078,Street Front,Retail,21507.08,104.8,0.1137,None,171.34,35,0.0633,1329
C10050,Bangalore,400078,Street Front,Retail,22336.15,106.19,0.1039,None,178.37,33,0.0863,1754
C10051,Bangalore,400078,Street Front,Retail,21043.69,113.85,0.1152,None,163.21,31,0.0723,1449
C10052,Bangalore,400078,Street Front,Retail,22085.24,112.75,0.1193,None,182.72,44,0.0872,1676
C10053,Hyderabad,400069,Mall,Restaurant,37814.8,178.81,0.2106,Rain Boost,326.0,49,0.039,3525
C10054,Hyderabad,400069,Mall,Restaurant,36851.03,162.59,0.2435,Rain Boost,325.23,36,0.0409,4353
C10055,Hyderabad,400069,Mall,Restaurant,37023.56,187.57,0.2313,Rain Boost,373.96,50,0.032,3498
C10056,Hyderabad,400069,Mall,Restaurant,37550.07,181.68,0.2262,Rain Boost,366.25,37,0.0327,3425
C10057,Hyderabad,400069,Mall,Restaurant,38866.11,194.61,0.2387,Rain Boost,370.5,38,0.0313,4266
C10058,Hyderabad,400069,Mall,Restaurant,37069.25,173.82,0.2119,Rain Boost,355.19,42,0.0307,4165
C10059,Chennai,400038,Standalone,Fashion,66784.62,352.4,0.0957,Sunny Boost,1850.86,16,0.1234,2865
C10060,Chennai,400038,Standalone,Fashion,65291.65,323.67,0.1125,Sunny Boost,1844.78,16,0.1505,2750
C10061,Chennai,400038,Standalone,Fashion,62048.49,299.07,0.1014,Sunny Boost,1846.69,16,0.1314,2368
C10062,Chennai,400038,Standalone,Fashion,62253.33,345.35,0.1146,Sunny Boost,1997.05,11,0.1579,2543
C10063,Chennai,400025,Standalone,Retail,55082.68,267.53,0.1037,Rain Boost,275.44,35,0.0812,5505
C10064,Chennai,400025,Standalone,Retail,59760.5,258.16,0.0925,Rain Boost,268.15,34,0.0775,5713
C10065,Chennai,400025,Standalone,Retail,58505.22,253.61,0.1062,Rain Boost,299.9,42,0.0624,5232
C10066,Chennai,400025,Standalone,Retail,59509.86,260.98,0.0888,Rain Boost,305.41,44,0.0622,5165
C10067,Delhi,400099,Street Front,Retail,45631.41,121.15,0.0967,Rain Boost,373.78,87,0.0601,1448
C10068,Delhi,400099,Street Front,Retail,48192.65,129.33,0.0825,Rain Boost,367.04,79,0.0643,1384
C10069,Delhi,400099,Street Front,Retail,45359.81,123.38,0.0897,Rain Boost,345.47,91,0.0547,1431
C10070,Mumbai,400049,Street Front,Restaurant,39010.49,216.85,0.1566,None,820.83,47,0.0533,2190
C10071,Mumbai,400049,Street Front,Restaurant,36933.9,226.57,0.1861,None,854.5,50,0.0563,2027
C10072,Mumbai,400049,Street Front,Restaurant,40121.43,225.52,0.1844,None,851.85,52,0.0434,1909
C10073,Mumbai,400049,Street Front,Restaurant,37766.14,246.42,0.17,None,781.33,44,0.0506,2369
C10074,Mumbai,400049,Street Front,Restaurant,39306.08,245.52,0.1798,None,776.76,63,0.053,2156
C10075,Bangalore,400021,Street Front,Restaurant,76548.38,256.71,0.2088,Rain Boost,673.88,29,0.0296,1772
C10076,Bangalore,400021,Street Front,Restaurant,74281.32,235.2,0.2298,Rain Boost,770.97,24,0.0249,1858
C10077,Bangalore,400021,Street Front,Restaurant,70713.01,235.63,0.2212,Rain Boost,787.62,23,0.0278,1984
C10078,Bangalore,400021,Street Front,Restaurant,77021.1,272.08,0.2053,Rain Boost,758.25,22,0.0305,1985
C10079,Bangalore,400021,Street Front,Restaurant,71685.99,257.6,0.2314,Rain Boost,684.64,22,0.0338,2118
C10080,Bangalore,400021,Street Front,Restaurant,74475.49,236.42,0.2193,Rain Boost,752.25,20,0.0263,1717
C10081,Bangalore,400090,Standalone,Fashion,42468.94,106.03,0.2413,Rain Boost,2503.1,34,0.079,2296
C10082,Bangalore,400090,Standalone,Fashion,45513.13,104.03,0.232,Rain Boost,2664.17,43,0.0563,2753
C10083,Bangalore,400090,Standalone,Fashion,44327.1,107.88,0.2318,Rain Boost,2472.72,43,0.0782,2650
C10084,Bangalore,400090,Standalone,Fashion,45021.11,101.7,0.2059,Rain Boost,2659.24,37,0.0689,2394
C10085,Bangalore,400090,Standalone,Fashion,44436.5,101.67,0.2319,Rain Boost,2544.74,40,0.0688,2526
C10086,Bangalore,400090,Standalone,Fashion,43488.08,92.77,0.2114,Rain Boost,2561.01,40,0.0762,2280
C10087,Chennai,400082,Mall,Fashion,46820.64,218.31,0.186,None,1490.08,14,0.0249,3029
C10088,Chennai,400082,Mall,Fashion,47825.97,242.82,0.1882,None,1427.74,10,0.0206,3397
C10089,Chennai,400082,Mall,Fashion,44005.88,249.32,0.1823,None,1527.1,11,0.025,3411
C10090,Chennai,400082,Mall,Fashion,47975.56,228.63,0.1715,None,1646.64,11,0.024,3571
C10091,Chennai,400082,Mall,Fashion,46734.08,243.1,0.1663,None,1705.6,10,0.0219,3699
C10092,Delhi,400021,Street Front,Restaurant,10532.85,223.84,0.0896,Sunny Boost,508.18,40,0.0146,1841
C10093,Delhi,400021,Street Front,Restaurant,10266.91,209.1,0.0923,Sunny Boost,530.46,34,0.0158,1890
C10094,Delhi,400021,Street Front,Restaurant,10450.55,207.64,0.1033,Sunny Boost,510.39,36,0.0155,1634
C10095,Delhi,400021,Street Front,Restaurant,10192.47,216.88,0.1006,Sunny Boost,508.02,28,0.0145,1622
C10096,Chennai,400029,Standalone,Restaurant,53752.48,95.54,0.1336,Rain Boost,997.48,83,0.0179,2730
C10097,Chennai,400029,Standalone,Restaurant,54227.44,105.03,0.1323,Rain Boost,986.82,79,0.0215,2887
C10098,Chennai,400029,Standalone,Restaurant,53053.97,89.12,0.1345,Rain Boost,888.93,84,0.0169,2617
C10099,Chennai,400029,Standalone,Restaurant,54981.46,101.59,0.1281,Rain Boost,917.52,59,0.0167,2835
C10100,Chennai,400029,Standalone,Restaurant,57099.16,99.47,0.1244,Rain Boost,1016.71,57,0.0185,2871
C10101,Chennai,400029,Standalone,Restaurant,52517.41,90.92,0.1423,Rain Boost,949.4,71,0.0169,3052
C10102,Delhi,400005,Street Front,Restaurant,64541.03,295.4,0.0757,Sunny Boost,681.4,22,0.0228,1151
C10103,Delhi,400005,Street Front,Restaurant,64604.58,288.24,0.0854,Sunny Boost,796.26,19,0.0213,1186
C10104,Delhi,400005,Street Front,Restaurant,66967.96,294.19,0.0848,Sunny Boost,670.47,23,0.0308,1153
C10105,Delhi,400005,Street Front,Restaurant,66996.76,260.52,0.0854,Sunny Boost,737.92,19,0.0228,1260
C10106,Mumbai,400028,Standalone,Fashion,50645.8,179.59,0.1708,Sunny Boost,1181.95,21,0.0857,7096
C10107,Mumbai,400028,Standalone,Fashion,48484.35,194.74,0.1635,Sunny Boost,1187.65,23,0.0875,6847
C10108,Mumbai,400028,Standalone,Fashion,48292.03,190.26,0.173,Sunny Boost,1008.18,19,0.074,6652
C10109,Mumbai,400028,Standalone,Fashion,46715.94,186.89,0.1829,Sunny Boost,1060.04,19,0.0697,6999
C10110,Mumbai,400028,Standalone,Fashion,48891.81,182.34,0.1601,Sunny Boost,1110.6,19,0.0896,6435
C10111,Mumbai,400028,Standalone,Fashion,48962.67,187.05,0.1863,Sunny Boost,1091.96,20,0.0807,7391
